Id,Label,timeset,farmacia,lat,lng,nombre,comune,poblacion,POBLA
BUIN,,,BUIN,33.7314,-70.7424,,Buin,96614,96614
CALERA DE TANGO,,,CALERA DE TANGO,33.6293,-70.7623,,Calera de Tango,25392,25392
CERRILLOS,,,CERRILLOS,33.501,-70.7099,,Cerrillos,80832,80832
CERRO NAVIA,,,CERRO NAVIA,33.4219,-70.7405,,Cerro Navia,132622,132622
COLINA,,,COLINA,33.2045,-70.676,,Colina,146207,146207
CONCHALI,,,CONCHALI,33.3847,-70.68,,Conchali,126955,126955
CURACAVI,,,CURACAVI,33.4009,-71.1267,,Curacavi,32579,32579
EL BOSQUE,,,EL BOSQUE,33.559,-70.6788,,El Bosque,162505,162505
ESTACION CENTRAL,,,ESTACION CENTRAL,33.4619,-70.6985,,Estacion Central,147041,147041
HUECHURABA,,,HUECHURABA,33.3742,-70.6367,,Huechuraba,98671,98671
INDEPENDENCIA,,,INDEPENDENCIA,33.4156,-70.6643,,Independencia,100281,100281
ISLA DE MAIPO,,,ISLA DE MAIPO,33.7465,-70.9,,Isla de Maipo,36219,36219
LA CISTERNA,,,LA CISTERNA,33.5264,-70.6614,,La Cisterna,90199,90199
LA FLORIDA,,,LA FLORIDA,33.5227,-70.5987,,La Florida,366916,366916
LA GRANJA,,,LA GRANJA,33.5378,-70.6207,,La Granja,116571,116571
LA PINTANA,,,LA PINTANA,33.5856,-70.6286,,La Pintana,177335,177335
LA REINA,,,LA REINA,33.4411,-70.5341,,La Reina,92787,92787
LO BARNECHEA,,,LO BARNECHEA,33.3527,-70.5185,,Lo Barrenechea,105833,105833
LAMPA,,,LAMPA,33.2827,-70.8793,,Lampa,102034,102034
LAS CONDES,,,LAS CONDES,33.4079,-70.5451,,Las Condes,294838,294838
LO ESPEJO,,,LO ESPEJO,33.522,-70.6906,,Lo Espejo,98804,98804
LO PRADO,,,LO PRADO,33.4443,-70.7233,,Lo Prado,96249,96249
MACUL,,,MACUL,33.4851,-70.5992,,Macul,116534,116534
MAIPU,,,MAIPU,33.5106,-70.7573,,Maipu,521627,521627
MELIPILLA,,,MELIPILLA,33.6859,-71.218,,Melipilla,123627,123627
NUNOA,,,NUNOA,33.4567,-70.5978,,Nunoa,208237,208237
PADRE HURTADO,,,PADRE HURTADO,33.5695,-70.8157,,Padre Hurtado,63250,63250
PAINE,,,PAINE,33.8082,-70.7364,,Paine,72759,72759
PEDRO AGUIRRE CERDA,,,PEDRO AGUIRRE CERDA,33.4941,-70.6765,,Pedro Aguirre Cerda,101174,101174
PENAFLOR,,,PENAFLOR,33.606,-70.8782,,Penaflor,90201,90201
PENALOLEN,,,PENANOLEN,33.4719,-70.5628,,Penanolen,241599,241599
PIRQUE,,,PIRQUE,33.6875,-70.5884,,Pirque,26521,26521
PROVIDENCIA,,,PROVIDENCIA,33.4314,-70.6093,,Providencia,142079,142079
PUDAHUEL,,,PUDAHUEL,33.4421,-70.7641,,Pudahuel,230293,230293
PUENTE ALTO,,,PUENTE ALTO,33.6186,-70.5906,,Puente Alto,568106,568106
QUILICURA,,,QUILICURA,33.3577,-70.7293,,Quilicura,210410,210410
QUINTA NORMAL,,,QUINTA NORMAL,33.4317,-70.6924,,Quinta Normal,110026,110026
RECOLETA,,,RECOLETA,33.4062,-70.6336,,Recoleta,157851,157851
RENCA,,,RENCA,33.4064,-70.728,,Renca,147151,147151
SAN BERNARDO,,,SAN BERNARDO,33.5854,-70.6987,,San Bernardo,301313,301313
SAN JOAQUIN,,,SAN JOAQUIN,33.4962,-70.6283,,San Joaquin,94492,94492
SAN JOSE DE MAIPO,,,SAN JOSE DE MAIPO,33.6432,-70.3452,,San Jose de Maipo,18189,18189
SAN MIGUEL,,,SAN MIGUEL,33.4924,-70.6518,,San Miguel,107954,107954
SAN RAMON,,,SAN RAMON,33.551,-70.6464,,San Ramon,82900,82900
SANTIAGO,,,SANTIAGO,33.4489,-70.6693,,Santiago,404495,404495
TALAGANTE,,,TALAGANTE,33.6625,-70.925,,Talagante,74237,74237
TILTIL,,,TIL TIL,33.0839,-70.928,,Til Til,19312,19312
VITACURA,,,VITACURA,33.3905,-70.5724,,Vitacura,85384,85384
